DOEID,REGIONC,DIVISION,METROMICRO,UATYP10,TYPEHUQ,KWH,KWHSPH,KWHCOL,KWHWTH,KWHRFG,KWHRFG1,KWHRFG2,KWHFRZ,KWHCOK,KWHMICRO,KWHCW,KWHCDR,KWHDWH,KWHLGT,KWHTVREL,KWHTV1,KWHTV2,KWHAHUHEAT,KWHAHUCOL,KWHEVAPCOL,KWHCFAN,KWHDHUM,KWHHUM,KWHPLPMP,KWHHTBPMP,KWHHTBHEAT,KWHNEC,BTUEL,BTUELSPH,BTUELCOL,BTUELWTH,BTUELRFG,BTUELRFG1,BTUELRFG2,BTUELFRZ,BTUELCOK,BTUELMICRO,BTUELCW,BTUELCDR,BTUELDWH,BTUELLGT,BTUELTVREL,BTUELTV1,BTUELTV2,BTUELAHUHEAT,BTUELAHUCOL,BTUELEVAPCOL,BTUELCFAN,BTUELDHUM,BTUELHUM,BTUELPLPMP,BTUELHTBPMP,BTUELHTBHEAT,BTUELNEC,DOLLAREL,DOLELSPH,DOLELCOL,DOLELWTH,DOLELRFG,DOLELRFG1,DOLELRFG2,DOLELFRZ,DOLELCOK,DOLELMICRO,DOLELCW,DOLELCDR,DOLELDWH,DOLELLGT,DOLELTVREL,DOLELTV1,DOLELTV2,DOLELAHUHEAT,DOLELAHUCOL,DOLELEVAPCOL,DOLELCFAN,DOLELDHUM,DOLELHUM,DOLELPLPMP,DOLELHTBPMP,DOLELHTBHEAT,DOLELNEC
10001,4,10,METRO,U,2,5270.742,0,1991.505,0,422.951,422.951,0,272.055,0,100.304,24.93,506.178,185.124,409.651,261.761,115.22,20.904,133.102,101.854,0,348.59,0,0,0,0,0,512.736,17983.771,0,6795.016,0,1443.108,1443.108,0,928.253,0,342.236,85.063,1727.078,631.643,1397.731,893.129,393.131,71.324,454.143,347.526,0,1189.388,0,0,0,0,0,1749.457,967.23,0,365.46,0,77.62,77.62,0,49.92,0,18.41,4.57,92.89,33.97,75.18,48.04,21.07,3.82,24.43,18.69,0,63.97,0,0,0,0,0,94.09
10002,3,7,NONE,R,2,12173,3390.979,2223.717,2089.679,752.709,752.709,0,270.167,295.082,197.841,0,0,0,1109.597,445.243,303.136,20.802,0,0,0,418.69,0,44.696,0,0,0,934.599,41534,11570.02,7587.322,7129.985,2568.243,2568.243,0,921.81,1006.82,675.033,0,0,0,3785.945,1519.169,1034.3,70.976,0,0,0,1428.57,0,152.503,0,0,0,3188.852,1366,380.52,249.54,234.49,84.47,84.47,0,30.32,33.11,22.2,0,0,0,124.51,49.96,34.02,2.33,0,0,0,46.98,0,5.02,0,0,0,104.88
10003,3,6,METRO,U,2,19655.394,3651.818,6837.336,0,1465.044,1093.21,371.834,0,1362.857,145.729,26.326,533.326,224.07,917.391,1857.856,297.742,114.187,200.526,264.038,0,1127.715,0,0,0,0,0,1041.363,67064.204,12460.003,23328.992,0,4998.729,3730.031,1268.698,0,4650.068,497.226,89.824,1819.709,764.525,3130.138,6339.003,1015.896,389.606,684.194,900.897,0,3847.765,0,0,0,0,0,3553.13,2428.08,451.12,844.63,0,180.98,135.05,45.93,0,168.36,18,3.25,65.88,27.68,113.33,229.51,36.78,14.11,24.77,32.62,0,139.31,0,0,0,0,0,128.64
10004,2,4,MICRO,C,2,9852.535,1412.232,3534.948,0,639.98,436.886,203.094,483.588,112.72,0,38.956,498.861,0,484.534,480.339,65.107,15.047,499.514,196.457,0,912.032,0,0,0,0,0,558.375,33616.851,4818.534,12061.243,0,2183.613,1490.655,692.958,1650.001,384.6,0,132.916,1702.112,0,1653.232,1638.915,222.145,51.34,1704.342,670.313,0,3111.853,0,0,0,0,0,1905.175,1313.12,188.22,471.13,0,85.29,58.23,27.07,64.45,15.02,0,5.19,66.49,0,64.58,64.02,8.68,2.01,66.57,26.18,0,121.55,0,0,0,0,0,74.42
10005,1,2,METRO,U,2,3115.655,0,332.701,0,311.469,270.185,41.284,0,0,56.869,28.387,293.78,0,604.038,358.968,50.996,81.677,104.54,15.978,0,99.024,156.175,0,0,0,0,753.726,10630.615,0,1135.176,0,1062.732,921.87,140.862,0,0,194.038,96.856,1002.376,0,2060.978,1224.799,173.998,278.682,356.691,54.517,0,337.87,532.87,0,0,0,0,2571.711,581.07,0,62.05,0,58.09,50.39,7.7,0,0,10.61,5.29,54.79,0,112.65,66.95,9.51,15.23,19.5,2.98,0,18.47,29.13,0,0,0,0,140.57
10006,1,1,NONE,C,5,2777,0,157.203,0,227.265,227.265,0,0,317.748,30.898,0,0,0,263.456,676.78,117.668,0,65.208,0,0,0,0,0,0,0,0,1038.441,9475,0,536.377,0,775.428,775.428,0,0,1084.156,105.424,0,0,0,898.912,2309.173,401.483,0,222.49,0,0,0,0,0,0,0,0,3543.161,494,0,27.96,0,40.43,40.43,0,0,56.52,5.5,0,0,0,46.87,120.39,20.93,0,11.6,0,0,0,0,0,0,0,0,184.73
10007,3,5,METRO,U,4,2397.758,0,934.817,0,469.29,469.29,0,0,117.6,96.819,15.823,0,0,172.427,264.259,36.174,0,24.613,45.123,0,25.584,0,0,0,0,0,231.401,8181.149,0,3189.596,0,1601.216,1601.216,0,0,401.253,330.348,53.989,0,0,588.322,901.652,123.426,0,83.981,153.961,0,87.293,0,0,0,0,0,789.539,371.61,0,144.88,0,72.73,72.73,0,0,18.23,15.01,2.45,0,0,26.72,40.96,5.61,0,3.81,6.99,0,3.97,0,0,0,0,0,35.86
10008,2,3,METRO,R,2,13890.899,0,676.65,0,1032.569,1032.569,0,487.699,527.72,547.651,72.458,738.751,133.558,215.597,713.783,324.761,16.201,465.659,0,0,630.98,2575.806,0,0,0,0,5072.016,47395.746,0,2308.731,0,3523.125,3523.125,0,1664.029,1800.581,1868.585,247.227,2520.619,455.701,735.618,2435.429,1108.085,55.278,1588.829,0,0,2152.904,8788.649,0,0,0,0,17305.718,1737.17,0,84.62,0,129.13,129.13,0,60.99,66,68.49,9.06,92.39,16.7,26.96,89.26,40.56,2.02,58.23,0,0,78.91,322.13,0,0,0,0,634.3
10009,1,2,METRO,U,2,10422.424,0,804.897,3335.301,1241.351,483.232,758.119,262.156,230.676,117.623,15.296,313.609,150.466,955.39,1550.73,372.146,108.726,225.954,41.062,0,284.833,0,0,0,0,0,893.079,35561.312,0,2746.309,11380.048,4235.489,1648.789,2586.701,894.478,787.067,401.328,52.191,1070.033,513.39,3259.791,5291.091,1269.762,370.973,770.955,140.105,0,971.85,0,0,0,0,0,3047.186,1531.91,0,118.31,490.23,182.46,71.03,111.43,38.53,33.91,17.29,2.25,46.09,22.12,140.43,227.93,54.7,15.98,33.21,6.04,0,41.87,0,0,0,0,0,131.27
10010,3,7,METRO,U,2,18505.802,2570.243,3102.518,3164.641,750.257,750.257,0,0,303.823,145.645,236.66,2996.609,536.387,2340.238,1149.311,189.129,68.834,37.881,150.168,0,235.539,0,0,0,0,0,785.883,63141.798,8769.67,10585.792,10797.754,2559.876,2559.876,0,0,1036.644,496.941,807.483,10224.429,1830.152,7984.893,3921.45,645.308,234.862,129.248,512.373,0,803.66,0,0,0,0,0,2681.434,1973.72,274.13,330.9,337.52,80.02,80.02,0,0,32.4,15.53,25.24,319.6,57.21,249.6,122.58,20.15,7.33,4.04,16.02,0,25.12,0,0,0,0,0,83.82
10011,1,1,METRO,U,2,2469.205,0,78.867,382.74,429.206,209.4,219.806,0,167.465,71.346,19.66,131.154,0,230.658,411.969,245.559,91.925,37.562,0,0,11.191,0,0,0,0,0,497.387,8424.926,0,269.094,1305.911,1464.45,714.472,749.978,0,571.391,243.434,67.08,447.497,0,787.006,1405.637,837.847,313.648,128.161,0,0,38.184,0,0,0,0,0,1697.083,568.07,0,18.14,88.05,98.74,48.17,50.57,0,38.53,16.41,4.52,30.17,0,53.07,94.78,56.08,20.99,8.64,0,0,2.57,0,0,0,0,0,114.43
10012,2,4,METRO,U,2,11065.529,8749.965,0,0,540.39,540.39,0,0,0,39.683,15.977,0,0,561.229,196.694,84.437,84.437,118.872,0,0,31.065,0,0,0,0,0,811.654,37755.586,29854.88,0,0,1843.812,1843.812,0,0,0,135.399,54.513,0,0,1914.914,671.12,288.099,288.099,405.59,0,0,105.995,0,0,0,0,0,2769.363,1034.54,818.05,0,0,50.52,50.52,0,0,0,3.71,1.49,0,0,52.47,18.39,7.89,7.89,11.11,0,0,2.9,0,0,0,0,0,75.88
10013,3,6,METRO,C,2,14766.758,3822.384,3071.534,1330.532,1786.841,728.342,1058.499,0,557.074,250.454,74.263,831.768,67.125,1016.63,598.211,110.82,178.613,68.729,163.963,0,60.773,0,0,0,0,0,1066.477,50384.179,13041.975,10480.076,4539.776,6096.702,2485.103,3611.6,0,1900.735,854.548,253.386,2837.993,229.03,3468.741,2041.095,378.118,609.428,234.503,559.442,0,207.358,0,0,0,0,0,3638.82,1844.84,477.54,383.73,166.23,223.23,90.99,132.24,0,69.6,31.29,9.28,103.91,8.39,127.01,74.74,13.84,22.31,8.59,20.48,0,7.59,0,0,0,0,0,133.24
10014,2,3,METRO,U,5,6750.579,4383.823,251.143,0,521.616,521.616,0,0,205.454,38.6,0,0,0,149.368,329.181,69.087,14.566,0,0,0,0,0,88.28,0,0,0,783.114,23032.974,14957.604,856.899,0,1779.754,1779.754,0,0,701.008,131.705,0,0,0,509.643,1123.165,235.725,49.699,0,0,0,0,0,301.212,0,0,0,2671.985,969.8,629.79,36.08,0,74.94,74.94,0,0,29.52,5.55,0,0,0,21.46,47.29,9.9,2.09,0,0,0,0,0,12.68,0,0,0,112.5
10015,4,8,METRO,U,2,16585.761,2076.627,1629.932,0,1098.234,776.209,322.025,525.526,331.174,104.588,27.361,553.416,230.93,3028.328,1192.141,243.164,118.576,676.944,97.007,0,438.045,0,0,0,0,0,4575.507,56590.618,7085.453,5561.327,0,3747.175,2648.425,1098.75,1793.094,1129.967,356.855,93.356,1888.255,787.932,10332.656,4067.586,829.676,404.581,2309.732,330.989,0,1494.611,0,0,0,0,0,15611.629,2037,255.04,200.18,0,134.88,95.33,39.55,64.54,40.67,12.85,3.36,67.97,28.36,371.93,146.41,29.83,14.55,83.14,11.91,0,53.8,0,0,0,0,0,561.95
10016,3,7,METRO,U,5,20554.014,1974.139,2446.285,7854.137,549.141,549.141,0,0,348.325,207.759,143.516,1811.735,351.993,2872.541,798.672,193.324,53.367,33.681,123.119,0,346.653,0,0,0,0,0,692.319,70130.297,6735.761,8346.723,26798.316,1873.67,1873.67,0,0,1188.484,708.872,489.676,6181.64,1201,9801.11,2725.07,659.621,182.088,114.92,420.081,0,1182.781,0,0,0,0,0,2362.193,1886.68,181.21,224.55,720.94,50.41,50.41,0,0,31.97,19.07,13.17,166.3,32.31,263.67,73.31,17.73,4.89,3.09,11.3,0,31.82,0,0,0,0,0,63.55
10017,3,5,METRO,U,1,11924,0,1290.537,4211.551,597.906,597.906,0,301.819,0,127.545,73.211,930.252,0,644.153,2023.868,570.574,54.725,58.162,45.096,0,773.005,0,0,0,0,0,846.896,40685,0,4403.312,14369.812,2040.055,2040.055,0,1029.806,0,435.184,249.796,3174.02,0,2197.85,6905.438,1946.798,186.722,198.449,153.868,0,2637.493,0,0,0,0,0,2889.609,1562,0,169.06,551.7,78.32,78.32,0,39.54,0,16.71,9.59,121.86,0,84.38,265.12,74.74,7.17,7.62,5.91,0,101.26,0,0,0,0,0,110.94
10018,1,2,METRO,U,4,2297.369,0,0,0,1039.714,521.864,517.851,0,0,42.923,22.085,230.065,25.422,130.61,259.976,54.534,75.929,65.534,0,0,33.818,0,0,0,0,0,447.219,7838.623,0,0,0,3547.506,1780.6,1766.906,0,0,146.453,75.356,784.983,86.741,445.642,887.039,186.07,259.07,223.603,0,0,115.389,0,0,0,0,0,1525.913,493.79,0,0,0,223.47,112.17,111.31,0,0,9.23,4.75,49.45,5.46,28.07,55.88,11.63,16.19,14.09,0,0,7.27,0,0,0,0,0,96.12
10019,4,10,METRO,U,2,4732.068,72.841,254.968,0,1341.458,766.178,575.28,253.048,452.64,27.347,25.195,514.246,177.467,507.162,301.929,156.716,0,58.03,12.955,0,0,0,0,0,0,0,732.781,16145.815,248.534,869.949,0,4577.054,2614.201,1962.854,863.401,1544.406,93.307,85.965,1754.607,605.519,1730.438,1030.182,534.715,0,197.999,44.203,0,0,0,0,0,0,0,2500.249,638.81,9.83,34.42,0,181.09,103.43,77.66,34.16,61.1,3.69,3.4,69.42,23.96,68.46,40.76,21.08,0,7.83,1.75,0,0,0,0,0,0,0,98.92
